title,type,release_year,release_month,release_day,rating,length,stars,genres
Guardians of the Galaxy,Movie,2014,August,1,PG-13,121,8.0,"['Action', 'Adventure', 'Comedy']"
I Am Groot,TV Series,2022,August,10,TV-PG,4,6.7,"['Animation', 'Short', 'Action']"
Agents of S.H.I.E.L.D.,TV Series,2013,September,24,TV-PG,45,7.5,"['Action', 'Adventure', 'Drama']"
Guardians of the Galaxy Vol. 2,Movie,2017,May,5,PG-13,136,7.6,"['Action', 'Adventure', 'Comedy']"
I Am Groot,TV Series,2022,August,10,TV-PG,4,6.7,"['Animation', 'Short', 'Action']"
Daredevil,TV Series,2015,April,10,TV-MA,54,8.6,"['Action', 'Crime', 'Drama']"
Jessica Jones,TV Series,2015,November,20,TV-MA,56,7.9,"['Action', 'Crime', 'Drama']"
Agents of S.H.I.E.L.D.,TV Series,2013,September,24,TV-PG,45,7.5,"['Action', 'Adventure', 'Drama']"
Avengers: Age of Ultron,Movie,2015,May,1,PG-13,141,7.3,"['Action', 'Adventure', 'Sci-Fi']"
Agents of S.H.I.E.L.D.,TV Series,2013,September,24,TV-PG,45,7.5,"['Action', 'Adventure', 'Drama']"
WHIH News Front,TV Series,2015,July,2,TV-PG,9,6.7,['Sci-Fi']
Daredevil,TV Series,2015,April,10,TV-MA,54,8.6,"['Action', 'Crime', 'Drama']"
Ant-Man,Movie,2015,July,17,PG-13,117,7.3,"['Action', 'Adventure', 'Comedy']"
Agents of S.H.I.E.L.D.,TV Series,2013,September,24,TV-PG,45,7.5,"['Action', 'Adventure', 'Drama']"
Daredevil,TV Series,2015,April,10,TV-MA,54,8.6,"['Action', 'Crime', 'Drama']"
Luke Cage,TV Series,2016,September,30,TV-MA,55,7.3,"['Action', 'Crime', 'Drama']"
Agents of S.H.I.E.L.D.,TV Series,2013,September,24,TV-PG,45,7.5,"['Action', 'Adventure', 'Drama']"
WHIH News Front,TV Series,2015,July,2,TV-PG,9,6.7,['Sci-Fi']
Captain America: Civil War,Movie,2016,May,6,PG-13,147,7.8,"['Action', 'Adventure', 'Sci-Fi']"
Agents of S.H.I.E.L.D.,TV Series,2013,September,24,TV-PG,45,7.5,"['Action', 'Adventure', 'Drama']"
Black Widow,Movie,2021,July,9,PG-13,134,6.7,"['Action', 'Adventure', 'Sci-Fi']"
Black Panther,Movie,2018,February,16,PG-13,134,7.3,"['Action', 'Adventure', 'Sci-Fi']"
Iron Fist,TV Series,2017,March,17,TV-MA,55,6.4,"['Action', 'Adventure', 'Crime']"
Inhumans,TV Series,2017,September,29,TV-PG,43,4.9,"['Action', 'Adventure', 'Sci-Fi']"
Spider-Man: Homecoming,Movie,2017,July,7,PG-13,133,7.4,"['Action', 'Adventure', 'Sci-Fi']"
The Defenders,TV Series,2017,August,18,TV-MA,50,7.2,"['Action', 'Adventure', 'Crime']"
The Punisher,TV Series,2017,November,17,TV-MA,53,8.5,"['Action', 'Crime', 'Drama']"
Doctor Strange,Movie,2016,November,4,PG-13,115,7.5,"['Action', 'Adventure', 'Fantasy']"
Cloak & Dagger,TV Series,2018,June,7,TV-14,44,6.6,"['Action', 'Adventure', 'Drama']"
Agents of S.H.I.E.L.D.,TV Series,2013,September,24,TV-PG,45,7.5,"['Action', 'Adventure', 'Drama']"
Agents of S.H.I.E.L.D.: Slingshot,TV Series,2016,December,13,Not Rated,6,6.9,"['Short', 'Action', 'Adventure']"
Agents of S.H.I.E.L.D.,TV Series,2013,September,24,TV-PG,45,7.5,"['Action', 'Adventure', 'Drama']"
Jessica Jones,TV Series,2015,November,20,TV-MA,56,7.9,"['Action', 'Crime', 'Drama']"
Agents of S.H.I.E.L.D.,TV Series,2013,September,24,TV-PG,45,7.5,"['Action', 'Adventure', 'Drama']"
Luke Cage,TV Series,2016,September,30,TV-MA,55,7.3,"['Action', 'Crime', 'Drama']"
Daredevil,TV Series,2015,April,10,TV-MA,54,8.6,"['Action', 'Crime', 'Drama']"
Cloak & Dagger,TV Series,2018,June,7,TV-14,44,6.6,"['Action', 'Adventure', 'Drama']"
Agents of S.H.I.E.L.D.,TV Series,2013,September,24,TV-PG,45,7.5,"['Action', 'Adventure', 'Drama']"
Thor: Ragnarok,Movie,2017,November,3,PG-13,130,7.9,"['Action', 'Adventure', 'Comedy']"
Agents of S.H.I.E.L.D.,TV Series,2013,September,24,TV-PG,45,7.5,"['Action', 'Adventure', 'Drama']"
Runaways,TV Series,2017,November,21,TV-14,1,6.9,"['Action', 'Drama', 'Sci-Fi']"
Iron Fist,TV Series,2017,March,17,TV-MA,55,6.4,"['Action', 'Adventure', 'Crime']"
Runaways,TV Series,2017,November,21,TV-14,1,6.9,"['Action', 'Drama', 'Sci-Fi']"
Iron Fist,TV Series,2017,March,17,TV-MA,55,6.4,"['Action', 'Adventure', 'Crime']"
Jessica Jones,TV Series,2015,November,20,TV-MA,56,7.9,"['Action', 'Crime', 'Drama']"
The Punisher,TV Series,2017,November,17,TV-MA,53,8.5,"['Action', 'Crime', 'Drama']"
Ant-Man and the Wasp,Movie,2018,July,6,PG-13,118,7.0,"['Action', 'Adventure', 'Comedy']"
The Punisher,TV Series,2017,November,17,TV-MA,53,8.5,"['Action', 'Crime', 'Drama']"
Agents of S.H.I.E.L.D.,TV Series,2013,September,24,TV-PG,45,7.5,"['Action', 'Adventure', 'Drama']"
Avengers: Infinity War,Movie,2018,April,27,PG-13,149,8.4,"['Action', 'Adventure', 'Sci-Fi']"
Runaways,TV Series,2017,November,21,TV-14,1,6.9,"['Action', 'Drama', 'Sci-Fi']"
Agents of S.H.I.E.L.D.,TV Series,2013,September,24,TV-PG,45,7.5,"['Action', 'Adventure', 'Drama']"
Helstrom,TV Series,2020,October,16,TV-MA,50,6.7,"['Action', 'Adventure', 'Drama']"
Avengers: Endgame,Movie,2019,April,26,PG-13,181,8.4,"['Action', 'Adventure', 'Drama']"
Loki,TV Series,2021,June,9,TV-14,53,8.2,"['Action', 'Adventure', 'Fantasy']"
What If...?,TV Series,2021,August,11,TV-14,32,7.4,"['Animation', 'Action', 'Adventure']"
Eternals,Movie,2021,November,5,PG-13,156,6.3,"['Action', 'Adventure', 'Fantasy']"
WandaVision,TV Series,2021,January,15,TV-PG,350,7.9,"['Action', 'Comedy', 'Drama']"
Shang-Chi and the Legend of the Ten Rings,Movie,2021,September,3,PG-13,132,7.4,"['Action', 'Adventure', 'Fantasy']"
The Falcon and the Winter Soldier,TV Series,2021,March,19,TV-14,50,7.2,"['Action', 'Adventure', 'Drama']"
Thor: Love and Thunder,Movie,2022,July,8,PG-13,118,6.4,"['Action', 'Adventure', 'Comedy']"
Peter's To-Do List,Short,2019,September,17,Not Rated,3,7.1,"['Short', 'Action', 'Adventure']"
Spider-Man: Far from Home,Movie,2019,July,2,PG-13,129,7.4,"['Action', 'Adventure', 'Sci-Fi']"
Spider-Man: No Way Home,Movie,2021,December,17,PG-13,148,8.3,"['Action', 'Adventure', 'Fantasy']"
Doctor Strange in the Multiverse of Madness,Movie,2022,May,6,PG-13,126,6.9,"['Action', 'Adventure', 'Fantasy']"
Hawkeye,TV Series,2021,November,24,TV-14,339,7.5,"['Action', 'Adventure', 'Crime']"
Moon Knight,TV Series,2022,March,30,TV-14,,7.3,"['Action', 'Adventure', 'Fantasy']"
She-Hulk: Attorney at Law,TV Series,2022,August,18,TV-14,35,5.1,"['Action', 'Adventure', 'Comedy']"
Ms. Marvel,TV Series,2022,June,8,TV-PG,271,6.2,"['Action', 'Adventure', 'Comedy']"
Werewolf by Night,TV Series,2022,October,7,TV-14,52,7.2,"['Action', 'Adventure', 'Drama']"
Secret Invasion,TV Mini Series,2023,,,TV-14,,,"['Action', 'Adventure', 'Drama']"
