last_name, first_name,player_id,year,player_age,b_ab,b_total_hits,b_home_run,b_bb_percent,batting_avg,on_base_percent,on_base_plus_slg,b_rbi,b_game,r_run,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Turner, Trea,607208,2021,28,595,195,28,6.3,.328,.375,.911,77,148,107,89.6,11.4,34.6,7.4,
Ramirez, Jose,608070,2021,28,552,147,36,11.3,.266,.355,.893,103,152,111,90,18.2,33.4,11.1,
Gallo, Joey,608336,2021,27,498,99,38,18.0,.199,.351,.808,77,153,90,91.5,22.7,29.4,18.5,
Swanson, Dansby,621020,2021,27,588,146,27,8.0,.248,.311,.760,88,160,78,89.3,14.1,36.8,11.4,
Newman, Kevin,621028,2021,27,517,117,5,4.9,.226,.262,.571,39,148,50,85.3,9.9,32,1.6,
Taylor, Chris,621035,2021,30,507,129,20,10.8,.254,.344,.782,73,148,92,88.2,17.4,38.1,10.2,
Correa, Carlos,621043,2021,26,555,155,26,11.7,.279,.366,.850,92,148,104,90.2,12.1,33.5,9.4,
Olson, Matt,621566,2021,27,565,153,39,13.1,.271,.371,.911,111,156,101,91.6,16.2,32.4,12.7,
Alonso, Pete,624413,2021,26,561,147,37,9.4,.262,.344,.863,94,152,81,91,14.7,34.5,14.8,
Frazier, Adam,624428,2021,29,577,176,5,7.5,.305,.366,.777,43,155,83,85.4,12.6,38.9,1,
Soler, Jorge,624585,2021,29,516,115,27,11.1,.223,.312,.744,70,149,74,91.2,15.7,30.9,12.7,
Cronenworth, Jake,630105,2021,27,567,151,21,8.6,.266,.336,.796,71,152,94,88.6,12.5,35.8,7.2,
Meadows, Austin,640457,2021,26,518,121,27,10.0,.234,.315,.772,106,142,79,89.3,21.7,36.1,8.7,
Anderson, Tim,641313,2021,28,527,163,17,4.0,.309,.338,.806,61,123,94,89.6,4.3,32.5,7.8,
Crawford, J.P.,641487,2021,26,619,169,9,8.4,.273,.338,.714,54,160,89,86.3,9.8,34.3,2.4,
Dozier, Hunter,641531,2021,29,487,105,16,7.9,.216,.285,.680,54,144,55,89.9,15.8,33,8.8,
Mancini III, Trey,641820,2021,29,556,142,21,8.3,.255,.326,.758,71,147,77,88.9,9.7,36,10.4,
McMahon, Ryan,641857,2021,26,528,134,23,9.9,.254,.331,.779,86,151,80,90.5,14.3,40.2,7.3,
O'Neill, Tyler,641933,2021,26,482,138,34,7.1,.286,.352,.912,80,138,89,93,17.8,39.9,17.9,
Rosario, Amed,642708,2021,25,550,155,11,5.3,.282,.321,.731,57,141,77,88.8,5.5,32,2.8,
Adames, Willy,642715,2021,25,497,130,25,10.3,.262,.337,.818,73,140,77,89.5,16.8,35.1,11.4,
Benintendi, Andrew,643217,2021,26,493,136,17,6.7,.276,.323,.766,73,134,63,89.6,15.4,38.5,8.9,
Kiner-Falefa, Isiah,643396,2021,26,635,172,8,4.1,.271,.312,.669,53,158,74,85.5,5.4,31.6,1.8,
Albies, Ozzie,645277,2021,24,629,163,30,6.9,.259,.310,.799,106,156,103,89.6,21.1,37,9.3,
Devers, Rafael,646240,2021,24,591,165,38,9.3,.279,.352,.890,113,156,101,92.9,13.1,35.2,15,
