last_name, first_name,player_id,year,player_age,b_ab,b_total_hits,b_home_run,b_bb_percent,batting_avg,on_base_percent,on_base_plus_slg,b_rbi,b_game,r_run,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Santander, Anthony,623993,2023,28,43,8,0,10.2,.186,.265,.544,4,11,2,93.4,17.2,33.3,11.1,
Alonso, Pete,624413,2023,28,48,12,6,12.7,.250,.345,.991,12,13,11,89.3,11.2,38.5,20.5,
Arroyo, Christian,624414,2023,28,37,7,0,5.0,.189,.225,.468,3,12,3,85.3,20.2,34.5,0,
Conforto, Michael,624424,2023,30,40,9,3,16.3,.225,.367,.817,6,11,9,94.4,15.2,36,12,
Frazier, Adam,624428,2023,31,37,10,1,11.9,.270,.357,.790,5,13,8,89.2,10.7,35.3,2.9,
Gordon, Nick,624503,2023,27,39,4,0,2.5,.103,.125,.253,0,12,4,87.8,6.7,38.9,0,
Soler, Jorge,624585,2023,31,46,10,4,6.0,.217,.280,.867,8,12,6,96.7,25.5,44.1,26.5,
Cronenworth, Jake,630105,2023,29,46,9,1,12.3,.196,.316,.642,2,14,8,87.4,14,36.4,6.1,
Anderson, Tim,641313,2023,30,47,14,0,4.1,.298,.327,.731,4,11,9,88.3,1.1,40.5,10.8,
Bellinger, Cody,641355,2023,27,42,10,2,8.5,.238,.298,.703,9,11,7,85.8,17.4,38.9,5.6,
Crawford, J.P.,641487,2023,28,43,9,0,13.7,.209,.314,.639,2,13,8,93.5,12.2,30.3,0,
Fraley, Jake,641584,2023,28,31,10,1,20.0,.323,.450,.934,9,11,3,85.4,12,50,8.3,
Mancini III, Trey,641820,2023,31,44,11,1,0.0,.250,.255,.574,9,11,4,87.1,5.5,33.3,3,
McMahon, Ryan,641857,2023,28,44,10,3,10.0,.227,.300,.800,8,13,5,91.2,5.5,37,25.9,
O'Neill, Tyler,641933,2023,28,43,12,2,4.4,.279,.311,.753,4,13,5,93.2,7.6,42.9,14.3,
Smith, Dominic,642086,2023,28,43,12,0,10.4,.279,.354,.633,4,11,6,83.2,5.9,24.3,0,
Tellez, Rowdy,642133,2023,28,37,7,3,13.3,.189,.289,.748,8,11,6,87.3,14.2,46.7,13.3,
Rosario, Amed,642708,2023,27,54,11,1,6.8,.204,.254,.532,4,12,5,89,7.5,26.8,2.4,
Adames, Willy,642715,2023,27,47,12,3,15.8,.255,.368,.837,8,13,9,86.9,19.7,29.7,13.5,
Estrada, Thairo,642731,2023,27,41,14,2,6.8,.341,.386,.923,5,11,7,85.5,8,41.9,6.5,
Benintendi, Andrew,643217,2023,28,50,13,0,5.7,.260,.302,.602,2,12,9,86.3,7.7,29.5,0,
Cooper, Garrett,643265,2023,32,42,14,3,6.7,.333,.378,.997,8,11,4,90,10.8,38.7,12.9,
Kemp, Tony,643393,2023,31,44,10,0,12.0,.227,.320,.593,4,11,6,87.6,10,33.3,2.8,
McNeil, Jeff,643446,2023,31,44,11,0,16.7,.250,.389,.730,5,13,3,88.6,4.5,21.1,2.6,
Albies, Ozzie,645277,2023,26,52,12,2,3.6,.231,.255,.601,6,13,4,84.6,6.1,34.9,4.7,
Robles, Victor,645302,2023,26,39,14,0,10.6,.359,.426,.836,4,13,5,85.8,12.2,22.9,2.9,
Devers, Rafael,646240,2023,26,50,14,5,3.8,.280,.321,.961,12,12,11,95.2,19,45.7,22.9,
Naylor, Josh,647304,2023,26,43,9,2,10.0,.209,.280,.629,9,12,4,88.3,18.9,24.3,10.8,
Diaz, Aledmys,649557,2023,32,42,6,0,8.7,.143,.217,.384,2,12,3,87.4,11.7,36.7,3.3,
Arraez, Luis,650333,2023,26,46,23,1,11.5,.500,.558,1.253,5,13,7,89.6,12.2,45.2,4.8,
Torres, Gleyber,650402,2023,26,39,13,2,22.0,.333,.480,1.070,6,13,9,91.4,12.8,42.4,12.1,
Diaz, Yandy,650490,2023,31,40,11,4,14.3,.275,.388,.988,9,11,13,94.2,14.9,38.9,16.7,
De La Cruz, Bryan,650559,2023,26,35,9,1,10.0,.257,.325,.696,7,11,4,89.9,9.5,36,4,
Rengifo, Luis,650859,2023,26,41,7,1,12.5,.171,.292,.536,6,12,7,88,4,24.1,3.4,
Chapman, Matt,656305,2023,30,47,23,3,9.6,.489,.538,1.390,15,12,10,98.8,15.6,48.6,32.4,
Mullins II, Cedric,656775,2023,28,49,9,2,10.7,.184,.268,.594,9,13,8,87.2,22.5,20,5,
Schwarber, Kyle,656941,2023,30,51,10,4,8.9,.196,.268,.738,7,13,8,92.4,27.9,41.2,20.6,
Thomas, Lane,657041,2023,27,50,15,0,7.3,.300,.364,.704,5,13,6,85.9,13.6,34.2,2.6,
Verdugo, Alex,657077,2023,27,52,16,1,7.1,.308,.357,.799,6,13,10,89,9.8,36.2,6.4,
Laureano, Ramon,657656,2023,28,44,10,2,6.3,.227,.292,.792,4,12,4,91,19.5,46.7,16.7,
Moncada, Yoan,660162,2023,28,39,12,2,2.5,.308,.325,.889,5,9,4,91.3,5.3,27.6,6.9,
Ohtani, Shohei,660271,2023,28,40,12,3,14.9,.300,.404,.979,8,11,7,93.5,9.4,38.5,19.2,
Acuna Jr., Ronald,660670,2023,25,54,20,2,12.9,.370,.452,.989,9,13,10,93.9,4.2,27.3,18.2,
Ruiz, Keibert,660688,2023,24,41,9,1,10.6,.220,.319,.661,3,11,2,85.3,14.8,40,5.7,
Contreras, William,661388,2023,25,37,13,0,9.8,.351,.415,.820,3,10,0,90.2,7.8,35.7,7.1,
Varsho, Daulton,662139,2023,26,45,13,1,13.0,.289,.389,.811,4,13,8,87.9,16,46.9,6.3,
Hoerner, Nico,663538,2023,26,49,17,0,2.0,.347,.373,.781,3,11,12,89,5.6,31.8,0,
Riley, Austin,663586,2023,26,47,16,2,15.5,.340,.448,.959,7,13,8,88.6,5.7,25.7,5.7,
Larnach, Trevor,663616,2023,26,50,13,1,13.6,.260,.356,.716,9,13,5,88.4,20.5,34.4,6.3,
Mountcastle, Ryan,663624,2023,26,53,14,6,5.2,.264,.293,.972,19,13,10,94.7,19.3,50,26.3,
Hayes, Ke'Bryan,663647,2023,26,51,8,0,5.6,.157,.204,.439,3,13,4,91.8,15.5,26.7,2.2,
Tucker, Kyle,663656,2023,26,45,14,4,17.5,.311,.421,1.043,13,13,5,90.8,14.9,51.4,16.2,
India, Jonathan,663697,2023,26,46,14,1,12.7,.304,.418,.875,3,12,13,88,6.8,28.9,5.3,
Raleigh, Cal,663728,2023,26,43,10,1,10.4,.233,.313,.708,8,12,4,87.9,13.3,38.7,19.4,
Grisham, Trent,663757,2023,26,50,10,4,15.3,.200,.322,.802,5,14,7,93.3,27.8,19.4,19.4,
Vierling, Matt,663837,2023,26,37,9,1,7.5,.243,.300,.651,3,10,2,91.8,12.7,33.3,3.7,
Stephenson, Tyler,663886,2023,26,45,14,0,7.8,.311,.392,.748,7,12,5,88.9,12,36.4,3,
Lowe, Nathaniel,663993,2023,27,50,13,2,5.7,.260,.302,.782,10,12,6,87.3,1.1,24.4,4.9,
Happ, Ian,664023,2023,28,39,11,1,20.4,.282,.429,.890,6,11,7,87.7,9.2,44.4,7.4,
France, Ty,664034,2023,28,56,20,1,8.1,.357,.419,.937,9,13,13,86.5,14.5,34,4,
Lowe, Brandon,664040,2023,28,33,11,5,19.5,.333,.463,1.282,12,11,12,92.4,14.6,52.2,34.8,
Straw, Myles,664702,2023,28,39,12,0,18.0,.308,.440,.799,4,12,7,85.6,3.4,26.7,0,
Bohm, Alec,664761,2023,26,49,16,3,5.7,.327,.377,.928,11,13,7,88.8,6.1,32.5,12.5,
Wade Jr., LaMonte,664774,2023,29,28,7,1,24.4,.250,.488,.881,2,11,3,87.9,12.4,45,15,
McCarthy, Jake,664983,2023,25,41,8,0,4.4,.195,.267,.535,2,12,5,84.8,15.4,41.2,2.9,
Pena, Jeremy,665161,2023,25,56,12,2,4.9,.214,.279,.672,7,13,9,86.1,4.9,38.5,5.1,
Guerrero Jr., Vladimir,665489,2023,24,51,21,2,11.5,.412,.492,1.041,7,13,11,93.9,11.5,32.7,14.3,
Soto, Juan,665742,2023,24,50,10,3,18.0,.200,.344,.784,7,14,8,90.3,6.2,27,16.2,
Cabrera, Oswaldo,665828,2023,24,38,10,0,2.5,.263,.275,.591,5,11,4,88.4,17.2,23.1,3.8,
Cruz, Oneil,665833,2023,24,32,8,1,17.5,.250,.375,.750,4,9,7,89.5,10.5,20,4,
Chisholm Jr., Jazz,665862,2023,25,48,11,2,7.7,.229,.288,.705,4,13,5,88.1,3.2,28.6,7.1,
Ruiz, Esteury,665923,2023,24,41,12,0,6.3,.293,.375,.765,6,13,6,84.1,13.2,35.3,5.9,
Gimenez, Andres,665926,2023,24,52,16,1,7.0,.308,.368,.830,5,13,14,85.5,12.8,33.3,2.6,
Bichette, Bo,666182,2023,25,59,20,4,3.2,.339,.371,.947,9,13,10,93,6.6,51.9,13.5,
Garcia, Adolis,666969,2023,30,47,10,2,5.9,.213,.255,.617,11,12,8,93.7,19.1,33.3,11.1,
Gurriel Jr., Lourdes,666971,2023,29,44,11,1,2.1,.250,.277,.686,8,11,5,87.7,10.2,41.7,5.6,
Arozarena, Randy,668227,2023,28,51,16,3,6.9,.314,.379,.928,16,13,11,93.9,9.2,37.2,16.3,
Steer, Spencer,668715,2023,25,40,13,2,13.0,.325,.413,.988,6,12,6,89.7,12,24.2,9.1,
Reynolds, Bryan,668804,2023,28,50,17,5,3.7,.340,.352,1.072,14,13,10,91,19,42.6,25.5,
Turang, Brice,668930,2023,23,37,10,1,9.8,.270,.341,.720,5,13,6,87.2,6.9,34.5,3.4,
Rutschman, Adley,668939,2023,25,51,19,4,15.0,.373,.467,1.094,9,13,9,88.3,18.6,47.6,11.9,
Mitchell, Garrett,669003,2023,24,43,12,3,6.5,.279,.326,.884,6,12,7,89,4.6,33.3,11.1,
Melendez Jr., MJ,669004,2023,24,42,8,1,12.5,.190,.292,.625,6,11,5,97.7,17.1,52.2,26.1,
Langeliers, Shea,669127,2023,25,39,8,2,7.1,.205,.262,.621,4,11,5,86.7,29.9,27.6,6.9,
Murphy, Sean,669221,2023,28,32,7,1,23.8,.219,.405,.842,6,10,4,92.2,10.3,26.1,13,
Edman, Tommy,669242,2023,28,42,11,1,10.4,.262,.333,.690,1,12,5,89,14.7,25,2.8,
Smith, Will,669257,2023,28,39,13,3,14.6,.333,.417,1.058,12,11,9,90,13.7,40.5,8.1,
Miranda, Jose,669304,2023,25,52,11,0,8.8,.212,.281,.511,5,13,3,88,8.9,37.2,4.7,
Gorman, Nolan,669357,2023,23,35,10,4,18.6,.286,.419,1.104,10,11,5,91.7,16.8,44,16,
Hays, Austin,669720,2023,27,47,16,3,6.0,.340,.380,1.018,6,13,12,91.4,12.1,40,22.9,
Call, Alex,669743,2023,28,38,9,1,18.4,.237,.367,.709,7,11,7,84.2,14.3,24.2,6.1,
Alvarez, Yordan,670541,2023,26,40,12,3,14.0,.300,.420,.995,16,11,8,92.1,18.7,43.3,16.7,
Paredes, Isaac,670623,2023,24,39,12,3,6.8,.308,.386,.925,10,12,8,86.6,23.4,27.6,6.9,
Friedl Jr., TJ,670770,2023,27,40,14,2,8.7,.350,.391,.991,3,12,7,86.1,12.8,38.7,6.5,
Casas, Triston,671213,2023,23,38,5,2,7.1,.132,.190,.533,7,13,3,89.9,13.1,33.3,7.4,
Kelenic, Jarred,672284,2023,23,37,13,3,9.8,.351,.415,1.117,5,11,5,94.4,11.5,38.5,23.1,
Robert Jr., Luis,673357,2023,25,53,18,5,0.0,.340,.333,1.031,11,12,9,89.2,16.9,45,17.5,
Kim, Ha-Seong,673490,2023,27,42,11,2,8.5,.262,.319,.819,4,12,4,85.7,15.4,37.5,9.4,
Jung, Josh,673962,2023,25,42,12,2,8.7,.286,.348,.824,5,11,7,87.5,19.6,53.1,9.4,
McCormick, Chas,676801,2023,28,40,11,2,10.6,.275,.362,.862,9,10,7,85.8,16.1,31,3.4,
Franco, Wander,677551,2023,22,53,17,4,5.3,.321,.368,1.048,12,13,10,90.2,19.8,34.1,15.9,
Rodriguez, Julio,677594,2023,22,59,15,2,6.3,.254,.313,.736,4,13,11,89,6.7,45.2,11.9,
Witt Jr., Bobby,677951,2023,23,48,11,2,7.7,.229,.288,.684,6,13,6,90.6,20.9,20.5,7.7,
Bae, Ji Hwan,678225,2023,23,39,9,2,7.1,.231,.286,.722,6,11,7,87.6,14.1,35.7,7.1,
Vargas, Miguel,678246,2023,23,25,5,0,31.7,.200,.463,.783,3,11,5,91.5,5.6,42.1,10.5,
Tovar, Ezequiel,678662,2023,21,43,9,0,2.3,.209,.227,.530,3,12,6,85.7,7.6,34.4,3.1,
Torkelson, Spencer,679529,2023,23,47,11,1,2.0,.234,.245,.607,6,12,6,91.9,11.5,24.3,8.1,
Kwan, Steven,680757,2023,25,53,15,0,14.1,.283,.375,.733,8,13,7,84.9,15.2,45.8,0,
Donovan, Brendan,680977,2023,26,47,11,2,7.7,.234,.288,.671,5,12,9,87.9,8.2,30.6,8.3,
Stott, Bryson,681082,2023,25,55,22,0,1.8,.400,.411,.883,4,13,3,87.4,6,34.1,2.4,
Outman, James,681546,2023,26,38,11,3,18.8,.289,.438,1.122,10,13,8,91.7,5.6,45.8,25,
Villar, David,681584,2023,26,38,8,3,11.1,.211,.333,.807,7,12,7,90.6,21.1,40,20,
Abrams, CJ,682928,2023,22,42,9,0,6.4,.214,.277,.634,5,12,3,86.8,17,42.4,0,
Greene, Riley,682985,2023,22,48,11,1,5.9,.229,.275,.608,3,12,7,87.1,7,32.3,9.7,
Carroll, Corbin,682998,2023,22,47,12,3,0.0,.255,.271,.739,6,13,7,90.7,13.5,40,8.6,
Henderson, Gunnar,683002,2023,22,37,6,1,20.8,.162,.354,.651,2,11,7,93.1,8,31.6,10.5,
Volpe, Anthony,683011,2023,22,38,6,0,11.6,.158,.256,.493,0,13,3,85,24.7,33.3,8.3,
Vaughn, Andrew,683734,2023,25,43,12,0,15.1,.279,.415,.834,9,12,5,88.3,7.1,42.4,6.1,
Pasquantino, Vinnie,686469,2023,25,41,12,2,16.0,.293,.400,.961,4,13,6,93.3,14.6,42.4,3,
Wiemer Jr., Joey,686894,2023,24,37,8,1,14.0,.216,.326,.677,4,12,4,82.7,-2.7,30.8,3.8,
Walker, Jordan,691023,2023,21,51,15,2,1.9,.294,.333,.784,8,13,4,89.7,5.1,26.3,5.3,
Colas, Oscar,693049,2023,24,40,11,1,4.5,.275,.318,.693,4,12,5,84.8,8.3,19.4,9.7,
Yoshida, Masataka,807799,2023,29,37,8,1,15.6,.216,.356,.680,6,10,8,85.4,-7.9,17.6,2.9,
Cabrera, Miguel,408234,2020,37,204,51,10,10.4,.250,.329,.746,35,57,28,93.2,12.1,36.8,9.7,
Cruz Jr., Nelson,443558,2020,39,185,56,16,11.7,.303,.397,.992,33,53,33,91.6,9.4,39.4,15,
Peralta, David,444482,2020,32,203,61,5,6.0,.300,.339,.773,34,54,19,89.2,6.4,29.4,5,
Longoria, Evan,446334,2020,34,193,49,7,5.3,.254,.297,.722,28,53,26,91.7,10.7,29.9,11.5,
Cabrera, Asdrubal,452678,2020,34,190,46,8,8.9,.242,.305,.753,31,52,23,89.5,13.7,30.5,6.5,
Blackmon, Charlie,453568,2020,33,221,67,6,7.7,.303,.356,.804,42,59,31,86.9,13.5,38.5,4.9,
Solano, Donovan,456781,2020,32,190,62,3,4.9,.326,.365,.828,29,54,22,88.5,15.5,43.4,4.6,
McCutchen, Andrew,457705,2020,33,217,55,10,9.1,.253,.324,.757,34,57,32,89.7,18.2,36.5,8.2,
Votto, Joey,458015,2020,36,186,42,11,16.6,.226,.354,.800,22,54,32,87.4,15.4,36.4,9.1,
Santana, Carlos,467793,2020,34,206,41,8,18.4,.199,.349,.699,30,60,34,88,12.2,32.3,6.7,
Brantley Jr., Michael,488726,2020,33,170,51,5,9.1,.300,.364,.840,22,46,24,88.7,10.2,34.5,4.9,
Gurriel, Yuli,493329,2020,36,211,49,6,5.2,.232,.274,.658,22,57,27,89.3,13.9,34.4,3.7,
Escobar, Eduardo,500871,2020,31,203,43,4,6.8,.212,.270,.605,20,54,22,88.6,18.1,34.8,5.5,
Martinez, J.D.,502110,2020,32,211,45,7,9.3,.213,.291,.680,27,54,22,89.5,14.7,39.6,11,
Reddick, Josh,502210,2020,33,188,46,4,9.5,.245,.314,.692,23,56,22,85.9,19.1,34.7,4.8,
Goldschmidt, Paul,502671,2020,32,191,58,6,16.0,.304,.416,.882,21,58,31,89.2,11.7,42.3,10.7,
Gonzalez, Marwin,503556,2020,31,175,37,5,8.5,.211,.286,.606,22,53,15,89.2,12.6,31.9,5.1,
Altuve, Jose,514888,2020,30,192,42,5,8.1,.219,.286,.629,18,48,32,86.7,9.3,24.8,4.6,
Hernandez, Cesar,514917,2020,30,233,66,3,9.2,.283,.352,.760,20,58,35,89.1,5.6,37.3,4,
Segura, Jean,516416,2020,30,192,51,7,10.6,.266,.346,.767,25,54,28,87.7,11.2,31.8,6.1,
Marte, Starling,516782,2020,31,228,64,6,4.8,.281,.340,.770,27,61,36,87.1,6.5,30.3,6.4,
Freeman, Freddie,518692,2020,30,214,73,13,17.2,.341,.462,1.102,53,60,51,92.4,17.2,49.2,14.7,
Grandal, Yasmani,518735,2020,31,161,37,8,15.5,.230,.351,.773,27,46,27,90.3,15.6,38.1,7.6,
LeMahieu, DJ,518934,2020,31,195,71,10,8.3,.364,.421,1.011,27,50,41,91.3,2.3,29.7,2.9,
Rizzo, Anthony,519203,2020,30,203,45,11,11.5,.222,.342,.755,24,58,26,87.7,16.7,34.7,7.8,
Flores, Wilmer,527038,2020,28,198,53,12,6.1,.268,.315,.830,32,55,30,87.9,19,37.4,6.1,
Garcia, Avisail,541645,2020,29,181,43,2,9.7,.238,.333,.659,15,53,20,87.4,8.7,37.1,3.8,
Ozuna, Marcell,542303,2020,29,228,77,18,14.2,.338,.431,1.067,56,60,38,93,16.4,39.1,15.4,
Villar, Jonathan,542340,2020,29,185,43,2,9.2,.232,.300,.591,15,52,13,86.7,1.6,18.7,1.5,
Aguilar, Jesus,542583,2020,30,188,52,8,10.6,.277,.352,.809,34,51,31,89.3,16,37.5,7.2,
Crawford, Brandon,543063,2020,33,172,44,8,7.8,.256,.326,.792,28,54,26,88.7,12.4,35.4,9.4,
Grossman, Robbie,543257,2020,30,166,40,8,10.9,.241,.344,.826,23,51,23,89,15.2,33.6,5.5,
Hicks, Aaron,543305,2020,30,169,38,6,19.4,.225,.379,.793,21,54,28,88.2,11.1,29.8,6.9,
Rendon, Anthony,543685,2020,30,189,54,9,16.4,.286,.418,.915,31,52,29,90.1,19.5,39.2,6.3,
Semien, Marcus,543760,2020,29,211,47,7,10.6,.223,.305,.679,23,53,28,86.2,19.3,32.9,5,
Springer III, George,543807,2020,30,189,50,14,10.8,.265,.356,.896,32,51,37,88.7,18.3,35.3,12.4,
Vazquez, Christian,543877,2020,29,173,49,7,8.5,.283,.344,.801,23,47,22,88.4,14.4,33.1,4.6,
Wong, Kolten,543939,2020,29,181,48,1,9.6,.265,.346,.672,16,53,26,86.5,10.8,31.2,0.6,
Gregorius, Didi,544369,2020,30,215,61,10,6.3,.284,.338,.826,40,60,34,83.8,17.8,35.3,4.2,
Grichuk, Randal,545341,2020,28,216,59,12,5.6,.273,.312,.793,35,55,38,88.9,12.6,27.2,11.2,
Trout, Mike,545361,2020,28,199,56,17,14.5,.281,.390,.993,46,53,41,93.7,23.1,36.1,15,
Ruiz, Rio,547004,2020,26,185,41,9,8.3,.222,.284,.711,32,54,25,87.9,10.5,27.7,8.5,
Harper, Bryce,547180,2020,27,190,51,13,20.1,.268,.418,.960,33,58,41,92.5,16,33.3,17.3,
Abreu, Jose,547989,2020,33,240,76,19,6.9,.317,.370,.987,60,60,43,92.9,10.9,37.4,14.3,
Suarez, Eugenio,553993,2020,28,198,40,15,13.0,.202,.312,.781,38,57,29,89.1,17.9,29.5,14.4,
Gonzalez, Erik,570481,2020,28,181,41,3,4.1,.227,.254,.613,20,50,14,88.5,5.5,33.6,6.7,
Arenado, Nolan,571448,2020,29,182,46,8,7.5,.253,.303,.738,26,48,23,87.8,19.1,27.1,5.4,
Muncy, Max,571970,2020,29,203,39,12,15.7,.192,.331,.720,27,58,36,88.5,14.2,29,12.4,
Myers, Wil,571976,2020,29,198,57,15,8.3,.288,.353,.959,40,55,34,91,13.4,40.8,14.8,
Pollock, AJ,572041,2020,32,196,54,16,5.7,.276,.314,.881,34,55,30,89.6,13,37.9,10.5,
Seager, Kyle,572122,2020,32,203,49,9,12.9,.241,.355,.788,40,60,35,89.1,17.7,30.7,10.2,
Voit III, Luke,572228,2020,29,213,59,22,7.3,.277,.338,.948,52,56,41,88.9,15.2,37.5,13.1,
Walker, Christian,572233,2020,29,218,59,7,7.8,.271,.333,.792,34,57,35,90.4,11.5,34.5,6.4,
Dickerson, Corey,572816,2020,31,194,50,7,7.1,.258,.310,.712,17,52,25,85.7,11.1,25.8,5.7,
Yastrzemski, Mike,573262,2020,29,192,57,10,13.3,.297,.400,.968,35,54,39,88.2,18.4,35,10.9,
Contreras, Willson,575929,2020,28,189,46,7,8.9,.243,.356,.763,26,57,37,89.8,9.1,35.8,10.4,
Canha, Mark,592192,2020,31,191,47,5,15.2,.246,.387,.795,33,59,32,89.7,19.4,37.3,7.7,
Castellanos, Nick,592206,2020,28,218,49,14,7.9,.225,.298,.784,34,60,37,91,16.5,39.3,16,
