Names,Players,Year,Month,Day,Age_2008
DJ Hooda,Batter,1995,April,19,13
DJ Hussey,Batter,1977,July,15,31
DJ Jacobs,Batter,1982,November,4,26
DJ Malan,Batter,1987,September,3,21
DJ Mitchell,All_Rounder,1991,May,20,17
DJ Muthuswami,All_Rounder,1981,March,9,27
DJ Thornely,Batter,1978,October,1,30
DJ Willey,Bowler,1990,February,28,18
DJG Sammy,All_Rounder,1983,December,20,25
DJM Short,Batter,1990,August,9,18
DL Chahar,Bowler,1992,August,7,16
DL Vettori,All_Rounder,1979,January,27,29
DM Bravo,Batter,1989,February,6,19
DNT Zoysa,Bowler,1978,May,13,30
DP Conway,Batter,1991,July,8,17
DP Nannes,Bowler,1976,May,16,32
DP Vijaykumar,Bowler,1986,October,20,22
DPMD Jayawardene,Batter,1977,May,27,31
DR Martyn,Batter,1971,October,21,37
DR Sams,All_Rounder,1992,October,27,16
DR Shorey,Batter,1992,June,15,16
DR Smith,All_Rounder,1983,April,12,25
DS Kulkarni,Bowler,1988,December,10,20
DS Lehmann,Batter,1970,February,5,38
DT Christian,All_Rounder,1983,May,4,25
DT Patil,Batter,1984,December,6,24
DW Steyn,Bowler,1983,June,27,25
E Lewis,Batter,1991,December,27,17
EJG Morgan,Batter,1986,September,10,22
ER Dwivedi,Batter,1988,July,22,20
F Behardien,All_Rounder,1983,October,9,25
F du Plessis,Batter,1984,July,13,24
FA Allen,Bowler,1995,May,7,13
Fazalhaq Farooqi,Bowler,2000,September,22,8
FH Edwards,Bowler,1982,February,6,26
FY Fazal,Batter,1985,September,7,23
G Gambhir,Batter,1981,October,14,27
Gagandeep Singh,Bowler,1981,October,3,27
GB Hogg,All_Rounder,1996,October,10,12
GC Smith,Batter,1981,February,1,27
GC Viljoen,Bowler,1989,March,6,19
GD McGrath,Bowler,1970,February,9,38
GD Phillips,Batter,1996,December,6,12
GH Vihari,All_Rounder,1993,October,13,15
GHS Garton,Bowler,1997,April,15,11
GJ Bailey,Batter,1982,September,7,26
GJ Maxwell,All_Rounder,1988,October,14,20
GR Napier,All_Rounder,1980,January,6,28
GS Sandhu,Bowler,1993,June,14,15
Gurkeerat Singh,Bowler,1990,June,29,18
H Das,Batter,1986,August,2,22
H Klaasen,Batter,1991,July,30,17
Harbhajan Singh,Bowler,1980,July,3,28
Harmeet Singh,Bowler,1992,September,7,16
Harpreet Brar,Bowler,1995,September,16,13
Harmeet Singh (2),Bowler,1991,August,11,17
Harpreet Singh,Bowler,1991,August,11,17
Harshit Rana,Bowler,2001,December,22,7
HE van der Dussen,Batter,1989,February,7,19
HF Gurney,Bowler,1986,October,5,22
HH Gibbs,Batter,1974,February,23,34
HH Pandya,All_Rounder,1993,October,11,15
HM Amla,Batter,1983,March,31,25
HR Shokeen,Bowler,2000,August,14,8
HV Patel,Bowler,1990,November,23,18
I Malhotra,All_Rounder,1984,May,23,24
I Sharma,Bowler,1988,September,2,20
IC Pandey,Bowler,1989,August,15,19
IC Porel,Bowler,1998,September,5,10
IK Pathan,All_Rounder,1984,October,27,24
Imran Tahir,Bowler,1979,Mar,27,29
Iqbal Abdulla,Bowler,1989,December,2,19
IR Jaggi,Batter,1989,January,27,19
